brand_hybrid,Yield,air.sig995_mean,omega.sig995_mean,pres.sfc_mean,rhum.sig995_mean,uwnd.sig995_mean,vwnd.sig995_mean
Miller-M67-85BR,237.9342,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-6642SS RIB,231.4989,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-6836VT3P RIB,228.4002,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-6892SS,236.7381,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-6914SS RIB,232.8435,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-7084SS,248.7331,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-7149SS,244.9741,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-7218VT3P,220.207,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-7252VT2P,234.1717,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-7322VT3P RIB,244.2401,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-7397SS RIB,220.7547,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-7400SS RIB,227.1196,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Mycogen-2A627,238.9572,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Mycogen-2C799,231.7901,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Mycogen-2V709,208.6585,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Mycogen-2Y669,241.9784,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5D-109™,233.1782,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5F-008™,239.1117,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5F-709™,250.7783,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5F-805™,239.1438,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5H-806™,254.0289,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5H-905,245.8166,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5V-0705,224.5855,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5Z-0801,230.6554,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5Z-0906,229.0411,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5Z-707™,234.2179,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Phoenix-5552EZ**,212.6615,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Power Plus-2V56 AMX,216.793,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Power Plus-4G46 AMX,232.3301,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Power Plus-4J95 AMX,256.0393,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Power Plus-4Y27 AMX,232.7675,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Power Plus-5C17 AMXT,260.1275,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Power Plus-6P75 AMXT,243.8468,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Renk-RK752SSTX,234.099,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Renk-RK776SSTX,229.0825,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Renk-RK791SSTX,227.9732,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Renk-RK834SSTX,235.0389,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Renk-RK860VT3P,227.2478,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Roeschley-Rx03-35SS,226.4172,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Roeschley-Rx215VT3P,239.8444,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Steyer-10703 SS,243.6114,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Steyer-10904 SS,227.3287,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Steyer-11103 SS,225.5866,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-5418RIB,248.0219,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-5428RIB,227.3781,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-5628RIB,220.3237,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-5828RIB,240.5141,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-5838RIB,225.6726,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-6058RIB,235.6316,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-6148RIB,242.5253,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-6158RIB,230.2275,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-6258RIB,244.5836,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-6378RIB,237.5328,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Sun Prairie-SP2488 GSS,232.633,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Sun Prairie-SPX4412 GSS,252.5651,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
YIELDirect-5E58-RIB,225.7816,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
YIELDirect-5L33-RIB,242.3703,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
YIELDirect-5M83-RIB,255.9648,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6408VT3PRIB,244.4754,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6416STXRIB,266.9804,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6442STXRIB,261.0302,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6462STX,258.2374,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6499STXRIB,257.3897,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6533VT3PRIB,257.7478,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6559STXRIB,244.2241,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-5852D2,231.8611,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 5131AMXT™*,258.2157,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 5828AMX™*,282.1171,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 5939AMXT™*,262.7754,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 6175AMXT™*,240.8571,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 6365AMX™*,250.4972,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Burrus-6T54 3000GT,265.6161,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Burrus-XP 5008 3122,252.4698,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Catalyst-4685 3111,247.057,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Channel-202-64STXRIB,229.3872,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Channel-209-53STXRIB,254.1464,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Channel-211-24STXRIB,239.3149,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C574SS,261.9697,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C576SS,253.4368,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C594VT3P,243.7024,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C602SS,270.6275,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C621SS,264.8663,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C655-3000GT,249.087,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C733SS,253.1858,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C744SS,258.8755,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC60-67RIB,267.5386,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC62-08RIB,252.2803,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC62-77RIB,259.3394,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC63-33RIB,271.6832,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC64-87RIB,261.4967,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Dyna-Gro-D46SS46,253.7013,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Dyna-Gro-D48SS38,271.1548,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Dyna-Gro-D50SS43,253.6963,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Hughes-5456 3000GT,253.1598,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
InVISION-FS 54ZX1 RIB,240.0041,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
InVISION-FS 56VX1 RIB,251.7626,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
InVISION-FS 57QX1 RIB,259.0386,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
InVISION-FS 60ZX1 RIB,248.9412,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Merschman-M - 1406G - 14,254.7902,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Merschman-M - 1407D - 14,261.9174,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Merschman-M - 1408F - 15,249.6623,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Merschman-M - 1504D - 14,233.3635,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Merschman-M - 1508P - 12,207.2674,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Miller-M01-41BRGA,248.2808,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Miller-M07-65BRGV,240.2618,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Miller-M67-85BR,245.6284,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-6642SS RIB,253.5332,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-6836VT3P RIB,254.0608,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-6892SS,270.1725,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-6914SS RIB,257.4486,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-7084SS,266.1076,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-7149SS,246.8604,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-7218VT3P,254.8104,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-7252VT2P,276.8467,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-7322VT3P RIB,252.9773,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-7397SS RIB,264.3896,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Munson-7400SS RIB,251.6801,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Mycogen-2A627,244.0123,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Mycogen-2C799,248.8461,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Mycogen-2V709,239.9324,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Mycogen-2Y669,264.9768,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5D-109™,249.367,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5F-008™,262.0769,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5F-709™,273.8153,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5F-805™,254.955,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5H-806™,254.561,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5H-905,254.407,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5V-0705,235.3296,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5Z-0801,268.4336,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5Z-0906,290.5174,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
NuTech/G2 Genetics-5Z-707™,260.0275,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Phoenix-5552EZ**,247.8321,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Power Plus-2V56 AMX,249.7755,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Power Plus-4G46 AMX,254.2805,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Power Plus-4J95 AMX,281.0411,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Power Plus-4Y27 AMX,245.548,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Power Plus-5C17 AMXT,275.4398,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Power Plus-6P75 AMXT,248.2037,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Renk-RK752SSTX,269.6544,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Renk-RK776SSTX,262.0791,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Renk-RK791SSTX,257.2098,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Renk-RK834SSTX,256.8328,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Renk-RK860VT3P,266.1337,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Roeschley-Rx03-35SS,245.5347,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Roeschley-Rx215VT3P,273.1568,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Steyer-10703 SS,268.35,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Steyer-10904 SS,256.1738,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Steyer-11103 SS,252.8195,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-5418RIB,261.8587,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-5428RIB,252.1772,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-5628RIB,259.2715,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-5828RIB,266.7243,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-5838RIB,253.6217,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-6058RIB,265.3598,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-6148RIB,265.2916,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-6158RIB,253.1877,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-6258RIB,263.431,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Stone-6378RIB,266.5665,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Sun Prairie-SP2488 GSS,262.1977,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Sun Prairie-SPX4412 GSS,254.6352,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
YIELDirect-5E58-RIB,252.6511,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
YIELDirect-5L33-RIB,259.5347,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
YIELDirect-5M83-RIB,273.5121,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6408VT3PRIB,221.4666,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6416STXRIB,235.1366,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6442STXRIB,226.38,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6462STX,221.4602,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6499STXRIB,218.915,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6533VT3PRIB,213.7378,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
AgriGold-A6559STXRIB,232.0982,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-5852D2,215.6391,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 5131AMXT™*,236.6019,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 5828AMX™*,253.2898,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 5939AMXT™*,229.4826,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 6175AMXT™*,225.6995,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Beck-XL 6365AMX™*,236.7107,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Burrus-6T54 3000GT,236.1038,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Burrus-XP 5008 3122,214.0307,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Catalyst-4685 3111,217.4196,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Channel-202-64STXRIB,222.0087,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Channel-209-53STXRIB,226.9161,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Channel-211-24STXRIB,224.5252,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C574SS,233.0348,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C576SS,238.0128,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C594VT3P,233.5835,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C602SS,234.9959,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C621SS,225.8937,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C655-3000GT,201.3513,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C733SS,204.7703,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Cornelius-C744SS,239.0327,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC60-67RIB,240.9389,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC62-08RIB,224.8103,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC62-77RIB,215.3562,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC63-33RIB,232.827,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
DeKalb-DKC64-87RIB,240.8021,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Dyna-Gro-D46SS46,231.1832,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Dyna-Gro-D48SS38,251.9103,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Dyna-Gro-D50SS43,220.1808,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
Hughes-5456 3000GT,235.3722,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
InVISION-FS 54ZX1 RIB,217.7002,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
InVISION-FS 56VX1 RIB,233.8692,290.6917148,-0.011082059,98128.27446,78.08559783,1.225953843,1.137638697
